id,siglaPartido,siglaUf,idLegislatura,sexo
204515,AVANTE,MG,56,M
178882,PP,MA,56,M
133439,PDT,CE,56,M
204423,PSC,PE,56,M
74471,PSD,PE,56,M
178831,PP,AP,56,M
204356,REPUBLICANOS,ES,56,M
178881,PSC,MA,56,M
178937,PL,RJ,56,M
178927,PSB,PR,56,M
204516,NOVO,SP,56,M
178833,PSD,RJ,56,M
204503,PT,SP,56,M
160545,DEM,SP,56,M
204544,PSDB,SP,56,M
204571,PDT,BA,56,M
178972,CIDADANIA,SP,56,M
160511,PSB,RJ,56,M
204501,PT,SP,56,M
204413,PATRIOTA,GO,56,M
160559,MDB,RS,56,M
178836,DEM,AC,56,M
204549,PP,CE,56,M
204495,PT,PA,56,M
160527,PP,PB,56,M
178835,PDT,RS,56,M
136811,PP,RS,56,M
160508,PT,BA,56,M
141372,PL,MG,56,M
74646,PSDB,MG,56,M
121948,PP,GO,56,M
204560,PSDB,BA,56,M
204379,PROS,AP,56,M
204521,PSL,SP,56,M
204554,PL,BA,56,M
178949,PHS,RN,55,F
73992,PSDB,RS,55,F
178862,PRB,BA,55,F
178901,DEM,MS,55,F
178946,PR,RJ,55,F
178911,MDB,PA,55,F
178961,PSDB,RR,55,F
146949,AVANTE,AL,55,F
178945,PRB,RJ,55,F
191684,PDT,MA,55,F
178989,PODE,SP,55,F
178925,PT,PI,55,F
178998,PSD,MG,55,F
160641,PCdoB,AP,55,F
160639,DEM,TO,55,F
195997,PPS,SP,55,F
66179,DEM,ES,55,F
178859,PT,BA,55,F
74177,MDB,RO,55,F
178956,PSDB,RO,55,F
64960,MDB,RR,55,F
74398,PT,RS,55,F
171619,PT,MG,55,F
205297,PSD,AC,55,F
160565,PSDB,SP,55,F
166402,PR,GO,55,F
198198,PPS,MG,55,F
178866,PT,CE,55,F
74784,PSOL,SP,55,F
160628,PCdoB,PE,55,F
81366,PSC,MA,55,F
178832,PV,PR,55,F
74856,DEM,RJ,55,F
160659,PSB,SP,55,F
67312,PSC,PA,55,F
178851,PODE,AP,55,F
114941,PROS,TO,55,F
141503,PCdoB,MG,55,F
178839,MDB,AC,55,F
73926,PSB,AP,55,F
74848,PCdoB,RJ,55,F
67138,PP,PI,55,F
129618,PR,CE,55,F
178966,PSDB,SC,55,F
160598,PDT,GO,55,F
74065,MDB,AP,55,F
202915,PP,AP,55,F
160575,PT,DF,55,F
178883,PPS,MA,55,F
74075,MDB,PA,55,F
178994,MDB,TO,55,F
178892,PODE,MG,55,F
93472,PTB,RJ,55,F
194258,PSB,PE,55,F
178848,PSDB,AM,55,F
178939,PROS,RJ,55,F
178928,PR,PR,55,F
164360,PPS,SC,55,F
205303,MDB,MS,55,F
178999,PR,MG,55,F
160589,PSDB,SP,55,F
73701,PT,RJ,55,F
192120,PCdoB,SC,55,F
141379,PSDB,RJ,55,F
178973,PT,SP,55,F
74057,PCdoB,BA,55,F
74392,PSB,SC,55,M
178902,PT,MS,55,M
160592,PT,PR,55,M
178923,PTB,PE,55,M
160632,SOLIDARIEDADE,MG,55,M
73931,PT,PA,55,M
178889,PT,MA,55,M
191945,DEM,RJ,55,M
199809,PSC,MT,55,M
74439,PDT,PE,55,M
73930,SOLIDARIEDADE,PA,55,M
160636,PTB,PB,55,M
193066,MDB,RJ,55,M
141563,PP,SP,55,M
167493,PDT,MA,55,M
74043,PR,PB,55,M
160518,PROS,MG,55,M
160620,MDB,RJ,55,M
204760,PDT,RS,55,M
160609,PSD,MG,55,M
141560,PSD,SP,55,M
178952,MDB,RN,55,M
160631,PATRI,RJ,55,M
141558,PSDB,MA,55,M
160569,PT,BA,55,M
137853,PCdoB,MG,55,M
189593,PT,RJ,55,M
178869,PROS,CE,55,M
92355,PRB,DF,55,M
178992,PSDB,SP,55,M
160591,PR,AP,55,M
141555,PRB,SP,55,M
178888,MDB,MA,55,M
137070,PR,TO,55,M
74283,PT,SP,55,M
160622,PT,SP,55,M
74308,PR,CE,55,M
178913,PSB,PB,55,M
141553,PSDB,SP,55,M
74376,PT,MS,55,M
141552,MDB,MT,55,M
113247,PT,SP,55,M
160610,PT,BA,55,M
74010,MDB,SC,55,M
141384,PSB,SE,55,M
194340,PRTB,AL,55,M
195866,PROS,CE,55,M
178863,PPL,BA,55,M
178934,PROS,PR,55,M
160611,PP,MG,55,M
160976,PR,SP,55,M
160617,PSD,GO,55,M
178898,PR,MG,55,M
73831,PSD,MT,55,M
74385,PSC,PR,55,M
178922,PSB,PE,55,M
177282,PDT,MG,55,M
92776,PSD,MG,55,M
178947,DEM,RJ,55,M
73424,PP,RJ,55,M
73560,PSDB,SP,55,M
4930,AVANTE,PE,55,M
187008,PODE,PI,55,M
74356,PRB,AM,55,M
74765,MDB,MG,55,M
160613,PT,AC,55,M
167614,PSB,PE,55,M
160612,DEM,RJ,55,M
178874,PDT,ES,55,M
178933,MDB,PR,55,M
178991,PRB,SP,55,M
141542,PTB,RS,55,M
73808,PSD,BA,55,M
178921,PR,PE,55,M
74210,PV,MA,55,M
74762,MDB,MG,55,M
160621,PSD,PR,55,M
74372,PP,GO,55,M
178990,PSDB,SP,55,M
160630,PT,MT,55,M
141522,PTB,AM,55,M
178887,PCdoB,MA,55,M
74371,PT,GO,55,M
73466,PPS,PR,55,M
178935,PSDB,PR,55,M
178870,PP,DF,55,M
163321,PTB,RS,55,M
122466,PRB,CE,55,M
178845,PDT,AL,55,M
160637,PODE,DF,55,M
178861,PP,BA,55,M
160515,MDB,SC,55,M
141536,PSD,PB,55,M
198963,MDB,MT,55,M
160426,PSD,DF,55,M
160651,MDB,SC,55,M
141535,PSDB,RN,55,M
178897,DEM,MG,55,M
178926,PSB,PI,55,M
74693,DEM,RJ,55,M
88950,DEM,SP,55,M
141531,PSDB,MG,55,M
141532,MDB,PR,55,M
178840,PSDB,AC,55,M
91208,PT,BA,55,M
160652,PP,PE,55,M
178944,DEM,RJ,55,M
178995,PDT,AP,55,M
73805,PPS,SP,55,M
160653,PODE,SP,55,M
141529,PP,BA,55,M
73674,PP,GO,55,M
152610,PRB,SP,55,M
141472,PSDB,SP,55,M
178920,PODE,PE,55,M
160655,PP,SP,55,M
195581,PRB,SP,55,M
73788,PP,PR,55,M
160654,PP,MG,55,M
141527,PP,RS,55,M
171620,PP,MG,55,M
178960,PR,RR,55,M
73786,PSD,PR,55,M
74161,PT,MG,55,M
74048,PPS,PE,55,M
74216,PSDB,CE,55,M
178951,PSB,RN,55,M
148134,PSL,MT,55,M
170673,PSD,PR,55,M
204011,PODE,DF,55,M
200153,MDB,AM,55,M
160601,PODE,SP,55,M
73486,PDT,RS,55,M
162174,PT,DF,55,M
141445,PT,RS,55,M
80920,PV,SP,55,M
178844,PSDB,AL,55,M
160604,PT,SC,55,M
122158,DEM,RJ,55,M
74449,PTB,MA,55,M
178912,PSDB,PB,55,M
74812,MDB,GO,55,M
141488,PT,SP,55,M
74400,PT,RS,55,M
141518,SOLIDARIEDADE,SP,55,M
