cod,sigla,nome,descricao
554,PDL,"Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais","Acordos, tratados ou atos internacionais (Art. 49, I da CF)"
555,PDL,Projeto de Decreto Legislativo de Indicação de Autoridade ao TCU,"Indicação de Autoridade ao TCU (Art. 49, XIII da CF)"
556,PDL,Projeto de Decreto Legislativo de Programação Monetária,Programação Monetária (Lei nº 9.069/95)
557,PDL,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,Susta atos normativos do Poder Executivo.
558,PDL,Projeto de Decreto Legislativo de Perempção da Concessão,
559,PDL,Projeto de Decreto Legislativo de Aprovação de Contas dos Presidentes,
560,PDL,Projeto de Decreto Legislativo de Alteração de Decreto Legislativo,
561,PDL,Projeto de Decreto Legislativo de Autorização do Congresso Nacional,
562,PDL,Projeto de Decreto Legislativo de Ministro do TCU,
563,PDL,Projeto de Decreto Legislativo de Perempção,
600,CCN,Consulta do Congresso Nacional,"Solicitação feita pela Claudia da SGM em 31/05/2005 as 14:30 (Incluído por MarceloLapa).
"
601,PDC,Projeto de Decreto Legislativo de Perempção,
602,MSC,Mensagem Revogação ou Anulação de Portaria,
603,ADD,Adendo,
604,DEC,Decisão,
605,ATC,Ato Convocatório,
606,PRST,Parecer à Redação para o Segundo Turno,
607,RLP(V),Relatório Prévio Vencedor,
608,EMA,Emenda Aglutinativa de Plenário,
609,REQ,Requerimento de Criação de Frente Parlamentar,
610,DOC,Documento,
611,SOR,Sugestão de Emenda ao Orçamento - Comissões,
612,SLD,Sugestão de Emenda à LDO - Comissões,
613,SPP,Sugestão de Emenda ao PPA - Comissões,
614,RPA,Relatório Parcial,
615,MTC,Mensagem (TCU),
616,SPP-R,Sugestão de Emenda ao PPA - revisão (Comissões),
617,SPA-R,Sugestão de Emenda ao PPA - revisão (CLP),
618,REC,"Recurso do Conselho de Ética que contraria norma constitucional ou regimental (Art. 13 ou 14, CEDP)",
619,RFP,"Refomulação de Parecer - art. 130, parágrafo único do RICD.",
620,PPP,Parecer Proferido em Plenário - Notas Taquigráficas,
621,PSS,Parecer às Emendas ou ao Substitutivo do Senado - Notas Taquigráficas,
622,PRVP,Proposta de Redação do Vencido em Primeiro Turno,
623,MSC,Mensagem de Afastamento/Interrupção de tratamento de saúde,
624,SUC,Sugestão a Projeto de Consolidação de Leis,
625,REQ,Requerimento de Prejudicialidade,
626,MSC,Mensagem de Cessão de Imóvel,
627,TVR,Perempção de Rádio/TV,
628,TVR,Revogação ou Anulação de Portaria de Rádio/TV,
629,TVR,Transferência de Controle Societário,
630,REC,"Recurso contra indeferimento liminar de emenda à Medida Provisória (Art. 125, caput, RICD)",
631,REL,Relatório de Comissão Externa,
632,PLN,Projeto de Lei (CN),
633,PLN,Projeto de Lei (CN) de Alteração do PPA e LDO,
634,PDN,Projeto de Decreto Legislativo (CN),
635,AVN,Aviso (CN),
636,AVN,Aviso (CN) de Relatório de Atividades do TCU,
637,AVN,Aviso (CN) de Relatório de Gestão Fiscal,
638,AVN,Aviso (CN) de Demonstrações Financeiras do Banco Central do Brasil,
639,AVN,Aviso (CN) de Contas do Governo da República,
640,AVN,Aviso (CN) de Relatório de Desempenho do Fundo Soberano do Brasil,
641,AVN,Aviso (CN) de Subtítulos com Indícios de Irregularidades Graves Apontadas pelo TCU,
642,AVN,Aviso (CN) de Operações de Redesconto e Empréstimo realizadas pelo Banco Central,
643,MCN,Mensagem (CN),
644,OFN,Ofício (CN),
645,MCN,"Mensagem (CN) de Relatório de Avaliação do Cumprimento das Metas Fiscais/Superávit Primário, MCN",
646,MCN,"Mensagem (CN) de Relatório de Gestão Fiscal, MCN",
647,MCN,"Mensagem (CN) de Operações de Crédito Incluídas na LOA Pedentes de Contratação, MCN",
648,MCN,"Mensagem (CN) de Relatório de Avaliação do PPA, MCN",
649,MCN,"Mensagem (CN) de Contas do Governo da República, MCN",
650,MCN,"Mensagem (CN) de Relatório de Avaliação de Receitas e Despesas, MCN",
651,OFN,Ofício (CN) de Relatório de Gestão Fiscal,
652,OFN,Ofício (CN) de Relatório Trimestral Gerencial do BNDES,
653,OFN,Ofício (CN) de Operações de Empréstimo de Capital de Giro Contratadas pela Caixa Econômica Federal,
654,OFN,Ofício (CN) de Demonstrações Contábeis de Fundo Constitucional de Financiamento,
655,OFN,Ofício (CN) de Contas do Governo da República,
656,OFN,Ofício (CN) de Subtítulos com Indícios de Irregularidades Graves apontadas pelo TCU,
657,PLN,Projeto de Lei (CN) de Crédito Especial,
658,PLN,Projeto de Lei (CN) de Crédito Suplementar,
659,PLN,Projeto de Lei (CN) de Lei Orçamentária Anual (LOA),
660,PLN,Projeto de Lei (CN) de Lei de Diretrizes Orçamentárias (LDO),
661,PLN,Projeto de Lei (CN) de Plano Plurianual,
662,MSF,Mensagem (SF),
663,PRP,Parecer do Relator Parcial,
664,REQ,Requerimento de Retirada de Emenda a Medida Provisória,
665,EMRP,Emenda de Relator Parcial,
666,CAC,Comunicado de Alteração do Controle Societário,
667,RRL,Relatório do Relator (CMO),
668,CVR,Contestação ao Voto do Relator,
669,PARF,Parecer de Comissão para Redação Final,
670,MPV,Medida Provisória de Crédito Extraordinário,
671,OFN,Ofício (CN) de Relatório de Atividades da Autoridade Pública Olímpica - APO,
672,AVN,Aviso (CN) de Relatório de Gestão Fiscal do Tribunal de Contas da União,
673,OFN,Ofício (CN) de Lei de Incentivo ao Esporte,
674,SRL,Sugestão de Emenda a Relatório,
675,RPL,Relatório Preliminar,
676,RRC,Relatório de Receita,
679,RPLE,Relatório Preliminar Apresentado com Emendas,
680,ERR,Errata,
681,CAE,Relatório de Atividades do Comitê de Admissibilidade de Emendas (CAE),
682,COI,Relatório do COI,
683,RAT,Relatório Setorial,
685,CAE,Relatório do CAE,
686,REQ,Requerimento de Participação ou Realização de Eventos fora da Câmara,
687,REQ,Requerimento de Reapresentação de Projeto de Lei Rejeitado na mesma Sessão Legislativa,
688,REQ,Requerimento de Inclusão de Matéria para Apreciação Imediata na Comissão,
689,OFN,Ofício (CN) de Informações de Execução das Obras do PAC,
690,OFS,Ofício do Senado Federal,
691,OFS,Ofício do Senado Federal de Fundo Constitucional de Financiamento ,
692,PLN,Projeto de Lei (CN) de Alteração da LDO,
693,PLN,Projeto de Lei (CN) de Alteração da LOA,
694,MSG,Mensagem (SF),
695,MSG,Mensagem (SF) de Contas do Governo da República,
696,OFN,Ofício (CN) de Demonstrações Contábeis do Fundo Constitucional de Financiamento do Norte (FNO),
697,OFN,Ofício (CN) de Demonstrações Contábeis do Fundo Constitucional de Financiamento do Centro-Oeste (FCO),
698,OFN,Ofício (CN) de Demonstrações Contábeis do Fundo Constitucional de Financiamento do Nordeste (FNE).,
699,PLN,Projeto de Lei (CN) de Alteração do PPA,
700,,Outras Proposições - Comissão Mista,
701,SBT-A,Substitutivo adotado pela Comissão,
702,EMC-A,Emenda Adotada pela Comissão,
703,SBE-A,Subemenda Adotada pela Comissão,
704,RPLOA,Relatório Preliminar,
705,ANEXO,Anexo,
706,EMPV,Emenda à Medida Provisória (CN),
707,REL,Relatório do Congresso Nacional,
